28.072,66.371,28.474,67.891,3.174,2.413,1.544,74.055,75.964
28.673,64.058,33.69,69.775,3.112,2.413,1.565,74.134,79.592
28.74,65.433,30.964,68.199,3.156,2.411,1.544,74.219,77.535
29.539,68.749,32.784,70.145,3.032,2.409,1.522,73.54,78.331
28.072,68.499,29.445,66.194,3.41,2.419,1.49,74.476,77.142
27.681,67.011,29.539,68.499,3.36,2.441,1.49,73.887,76.691
29.055,63.435,34.16,73.443,3.351,2.42,1.512,73.301,78.111
30.033,62.241,37.208,75.964,3.075,2.457,1.546,74.638,78.573
30.141,64.058,35.134,74.876,3.26,2.417,1.523,74.141,78.331
29.445,62.176,35.34,72.474,2.96,2.368,1.513,74.31,79.418
29.65,62.241,35.538,74.249,3.039,2.408,1.489,74.476,79.641
31.504,66.448,35.727,73.301,2.845,2.36,1.511,74.638,78.573
30.7,65.225,35.256,73.301,3.165,2.38,1.478,75.53,78.805
30.311,64.026,35.91,73.686,3.073,2.398,1.5,75.677,78.805
28.25,61.074,34.796,71.565,3.192,2.45,1.521,76.109,79.958
27.937,61.607,35.256,72.897,3.122,2.372,1.5,74.954,79.38
28.25,61.074,35.256,72.897,3.152,2.372,1.499,75.225,79.271
28.25,61.074,35.727,74.249,3.241,2.451,1.499,75.225,79.271
27.582,61.607,34.592,73.856,3.112,2.4,1.467,75.069,79.16
29.745,64.058,34.854,73.856,3.216,2.44,1.533,74.638,76.251
28.61,61.607,33.917,72.474,3.38,2.439,1.522,75.225,78.111
28.98,61.607,34.16,73.443,3.292,2.413,1.555,74.055,77.407
28.301,62.176,33.69,73.443,3.165,2.392,1.5,74.219,77.989
28.301,62.176,32.989,73.009,3.451,2.432,1.522,74.219,76.827
30.141,64.058,34.641,73.443,3.305,2.45,1.591,73.244,75.964
28.61,61.607,33.232,72.031,3.542,2.423,1.544,74.539,77.093
29.65,63.435,32.989,73.009,3.451,2.45,1.543,74.381,76.792
28.61,61.607,33.232,72.031,3.388,2.378,1.543,74.694,77.221
28.301,61.607,33.917,70.641,3.111,2.429,1.577,74.539,78.35
29.65,62.241,34.38,72.474,3.336,2.385,1.578,75.107,77.221
30.033,64.654,32.347,69.274,3.388,2.432,1.522,75.53,77.221
30.7,62.85,35.34,73.856,3.249,2.413,1.568,73.974,77.905
29.65,60.422,34.919,76.329,3.35,2.413,1.591,73.072,77.661
30.033,62.241,35.34,73.856,3.123,2.413,1.568,74.381,77.093
30.964,63.435,35.256,71.996,3.118,2.364,1.555,76.39,77.221
28.25,59.265,33.917,71.114,3.331,2.421,1.577,76.691,78.69
30.7,62.241,35.34,74.249,3.556,2.45,1.614,73.578,77.347
28.843,61.189,35.446,73.301,3.373,2.377,1.552,76.103,78.024
29.932,62.241,33.917,72.897,3.11,2.462,1.544,73.74,77.347
29.836,61.189,34.992,71.147,3.152,2.461,1.608,76.239,77.593
29.476,61.189,34.346,71.996,3.152,2.39,1.574,75.689,77.712
28.909,60.422,33.69,73.856,3.11,2.443,1.566,73.578,77.905
30.466,62.301,34.346,72.408,3.238,2.404,1.511,76.661,78.024
30.033,63.435,34.38,72.474,3.164,2.459,1.555,75.677,76.661
30.203,62.301,34.346,70.71,3.113,2.405,1.522,76.39,77.905
30.311,62.85,34.136,70.253,3.289,2.46,1.577,76.961,77.221
29.932,62.85,34.592,72.897,3.247,2.411,1.521,76.251,77.221
29.932,62.85,35.256,73.301,3.389,2.439,1.522,76.961,77.221
29.932,62.85,35.256,73.301,3.24,2.459,1.521,76.39,77.221
30.311,64.026,34.796,71.996,3.24,2.46,1.521,76.827,76.661
29.932,62.85,34.592,72.897,3.239,2.441,1.521,76.691,77.093
30.033,63.435,34.854,73.856,3.249,2.439,1.511,74.954,76.961
29.358,62.819,34.16,73.443,3.258,2.439,1.511,75.379,76.39
29.358,61.607,34.16,72.031,3.441,2.44,1.545,75.225,76.961
28.909,62.241,33.69,71.565,3.634,2.41,1.489,76.109,78.232
28.551,61.699,34.346,71.565,3.107,2.48,1.488,76.109,78.232
27.86,59.47,35.446,73.301,3.272,2.452,1.531,75.53,79.028
28.496,60.101,36.552,74.982,3.232,2.37,1.531,74.846,78.14
28.78,61.783,35.362,72.801,3.49,2.461,1.469,76.103,78.799
29.124,62.301,35.362,73.179,3.45,2.388,1.49,75.689,78.14
28.664,60.832,36.724,75.069,2.479,2.471,1.45,75.285,79.992
28.393,61.294,34.875,71.175,2.955,2.401,1.471,75.285,80.628
30.606,64.486,34.077,67.751,2.866,2.436,1.5,75.174,80.181
32.082,67.751,34.472,67.751,3.398,2.375,1.53,74.65,79.114
31.701,67.286,32.905,67.286,3.305,2.4,1.5,75.564,79.011
31.608,69.444,30.005,62.879,3.44,2.491,1.501,76.633,77.712
33.056,71.147,29.745,62.301,3.36,2.471,1.51,77.171,76.633
33.486,70.346,29.396,62.879,3.441,2.445,1.5,77.712,76.759
32.869,68.682,29.124,62.301,3.438,2.4,1.53,76.921,77.047
33.275,72.408,29.055,62.879,3.269,2.444,1.47,77.712,75.964
34.931,71.966,29.659,61.294,3.438,2.49,1.51,78.799,75.564
33.085,67.964,30.358,63.435,3.344,2.4,1.489,77.593,77.171
33.085,68.875,31.562,63.435,3.346,2.4,1.489,77.471,77.171
33.486,68.429,31.931,63.97,3.44,2.444,1.521,77.047,77.171
33.486,68.429,31.931,63.97,3.185,2.472,1.521,77.047,77.712
33.69,67.751,31.329,63.435,3.481,2.445,1.5,77.471,77.293
32.869,69.146,29.745,62.301,3.309,2.426,1.49,77.905,76.504
33.896,69.146,30.719,63.435,3.267,2.472,1.5,78.024,76.097
33.275,69.146,29.745,61.189,3.74,2.407,1.521,78.579,76.759
33.486,69.59,30.358,62.879,3.438,2.445,1.49,78.14,76.357
34.095,69.59,29.745,62.879,3.582,2.382,1.53,78.254,77.005
30.838,66.975,28.78,61.699,3.52,2.426,1.48,78.024,77.829
30.838,66.297,30.358,62.301,3.52,2.382,1.53,77.471,78.366
32.082,67.964,30.719,65.136,3.584,2.426,1.48,76.921,77.829
31.849,68.682,30.358,63.997,3.739,2.382,1.48,77.593,77.293
31.849,67.479,30.101,63.435,3.308,2.375,1.531,76.504,77.412
31.088,66.297,29.745,63.435,3.52,2.418,1.52,77.047,78.056
33.085,69.59,30.606,63.435,3.346,2.4,1.5,77.829,77.53
32.082,67.964,29.745,63.435,3.784,2.4,1.52,77.593,77.53
32.082,69.146,30.964,65.659,3.583,2.418,1.471,77.293,77.005
31.464,67.964,30.005,62.301,3.667,2.454,1.52,77.171,77.005
31.088,69.146,29.659,63.435,3.52,2.418,1.442,77.593,77.412
31.088,70.346,29.659,64.592,3.48,2.393,1.434,77.047,77.005
32.082,69.146,30.005,63.997,3.625,2.418,1.471,77.171,77.53
31.088,67.964,30.964,65.136,3.625,2.375,1.47,76.633,77.943
29.745,65.772,29.055,63.435,3.597,2.393,1.462,76.921,78.254
29.124,65.772,29.659,63.435,3.75,2.393,1.442,76.921,78.14
29.476,66.975,29.32,62.301,3.747,2.418,1.442,77.347,78.14
28.443,64.592,28.393,61.699,3.72,2.393,1.434,77.905,78.69
28.496,64.026,28.113,59.931,3.83,2.392,1.49,77.347,78.799
27.824,62.85,28.72,61.699,3.717,2.393,1.461,77.347,79.242
27.525,63.435,28.113,61.074,3.996,2.357,1.461,77.661,79.242
29.476,65.772,28.72,60.573,3.788,2.418,1.49,77.905,78.254
28.496,66.448,28.72,62.85,3.75,2.334,1.434,77.347,78.14
28.843,66.448,28.72,61.699,3.6,2.462,1.461,77.471,78.254
28.843,66.448,28.72,61.699,3.6,2.399,1.442,77.784,78.024
28.78,64.592,29.659,63.435,3.637,2.411,1.442,76.373,78.799
28.843,65.225,29.396,62.85,3.557,2.392,1.471,75.689,78.799
25.278,60.945,28.113,60.422,3.719,2.401,1.481,77.347,80.446
28.496,64.026,29.745,64.026,3.866,2.4,1.471,76.792,78.69
29.476,66.975,29.659,63.435,3.557,2.417,1.462,77.047,78.366
27.86,64.026,29.055,61.074,3.789,2.4,1.471,76.661,79.796
29.124,64.592,30.005,63.435,3.747,2.333,1.471,76.921,78.906
28.843,64.026,30.358,63.435,3.696,2.393,1.48,75.964,78.799
28.496,65.225,30.005,64.592,3.856,2.436,1.462,75.828,78.799
28.78,63.997,31.931,66.297,3.55,2.334,1.49,75.964,79.448
29.745,65.136,30.964,65.136,3.705,2.437,1.471,75.964,79.011
29.396,63.997,30.964,65.136,3.459,2.436,1.49,75.964,79.548
30.101,66.297,31.562,65.659,3.664,2.411,1.49,76.097,77.829
30.719,65.136,31.329,65.659,3.257,2.437,1.52,75.964,78.476
31.701,67.286,33.294,68.429,3.539,2.41,1.5,75.174,77.53
30.358,66.161,33.495,68.429,3.337,2.462,1.47,75.174,79.647
31.931,66.644,33.294,68.429,3.437,2.416,1.48,76.921,79.548
31.931,67.109,34.875,70.017,3.14,2.364,1.499,75.564,79.548
31.329,63.97,35.707,70.427,3.03,2.408,1.542,75.174,80.181
32.307,67.109,35.87,70.427,2.993,2.4,1.509,75.311,78.69
31.931,65.556,35.707,71.565,2.993,2.4,1.51,74.65,79.114
31.329,65.556,34.472,67.751,3.221,2.418,1.509,75.7,79.114
30.719,65.056,33.887,67.286,3.623,2.418,1.509,75.564,79.011
30.606,65.556,34.077,68.875,3.258,2.418,1.47,75.833,79.743
30.606,64.486,33.495,67.286,3.413,2.393,1.499,75.564,79.743
30.606,63.97,33.887,68.875,3.376,2.351,1.52,75.174,79.743
29.396,63.435,32.905,66.801,3.288,2.455,1.519,75.564,79.114
29.396,63.97,33.495,66.801,3.55,2.393,1.518,75.7,79.743
29.745,63.997,32.905,67.286,3.377,2.455,1.5,75.7,78.584
30.005,66.161,32.735,67.286,3.414,2.436,1.461,76.228,79.114
30.719,65.659,32.525,66.161,3.383,2.435,1.54,76.097,78.69
30.101,65.136,32.905,67.286,3.624,2.454,1.52,75.7,77.943
31.088,66.801,33.495,67.751,3.439,2.393,1.52,75.7,78.056
30.719,67.286,33.111,67.286,3.478,2.418,1.49,76.097,78.584
28.78,62.879,32.692,67.479,3.813,2.436,1.5,74.89,79.548
30.005,64.537,32.525,67.286,3.696,2.334,1.49,76.097,79.647
29.745,62.879,33.085,67.964,3.623,2.375,1.531,74.89,79.548
30.005,63.97,33.887,68.429,3.376,2.393,1.519,75.564,79.114
30.964,65.056,33.294,68.429,3.22,2.41,1.52,75.174,78.69
29.745,63.435,33.69,67.964,3.47,2.436,1.53,75.033,79.114
30.358,65.056,33.495,67.286,3.258,2.454,1.499,75.7,78.584
30.358,64.537,32.525,66.161,3.558,2.35,1.5,75.564,79.548
31.931,65.556,34.472,68.199,3.221,2.418,1.531,75.7,79.216
32.307,66.644,33.887,67.751,3.07,2.375,1.531,75.033,79.216
30.719,64.537,33.887,67.751,3.101,2.373,1.532,75.174,79.548
30.606,64.486,34.472,68.875,3.033,2.418,1.5,75.7,79.743
31.562,64.486,34.472,68.199,3.251,2.334,1.531,75.833,79.743
30.606,63.97,33.887,68.875,3.136,2.436,1.52,75.033,79.647
30.606,65.556,34.651,69.305,3.029,2.369,1.491,75.311,79.216
30.358,65.056,33.495,67.286,3.258,2.434,1.519,75.7,79.114
30.964,65.056,33.495,67.751,3.383,2.411,1.52,75.7,78.69
30.256,63.97,33.111,67.751,3.332,2.411,1.49,75.7,79.743
30.005,65.056,32.525,66.801,3.287,2.384,1.51,75.174,79.315
29.396,63.435,32.525,65.659,3.598,2.412,1.519,75.564,79.743
29.396,62.879,32.307,66.801,3.414,2.411,1.54,75.033,79.647
28.443,62.879,31.562,65.136,3.369,2.386,1.509,75.426,79.548
29.396,63.997,31.201,64.537,3.369,2.369,1.49,76.633,79.114
28.78,62.879,31.562,63.997,3.498,2.386,1.559,76.097,79.114
29.396,63.997,30.606,63.997,3.789,2.386,1.49,75.964,79.114
28.78,63.997,31.329,65.772,3.549,2.409,1.509,75.426,79.114
28.443,61.189,31.329,65.136,3.498,2.386,1.54,75.564,79.548
28.443,62.879,31.562,65.136,3.779,2.385,1.51,75.564,79.743
29.055,62.879,30.606,63.997,3.536,2.446,1.49,75.964,79.011
28.78,63.997,31.562,65.136,3.598,2.386,1.49,75.426,79.011
29.745,63.997,30.964,63.997,3.597,2.429,1.52,75.964,78.584
29.396,63.997,30.964,65.136,3.597,2.411,1.511,75.426,79.647
29.745,64.537,32.307,66.297,3.517,2.437,1.539,75.426,79.216
28.443,61.783,31.931,65.136,3.629,2.411,1.5,75.426,80.087
27.824,62.301,30.964,64.592,3.779,2.411,1.49,75.285,79.992
27.824,63.435,30.964,65.772,3.598,2.386,1.462,74.745,79.448
28.443,62.879,31.931,66.297,3.738,2.393,1.51,75.964,79.548
29.055,64.537,30.964,65.772,3.737,2.375,1.48,75.964,80.181
28.156,63.435,30.964,64.592,3.738,2.392,1.471,75.828,79.346
27.824,62.301,30.964,64.592,3.779,2.411,1.49,75.285,79.992
29.476,65.136,31.701,65.772,3.477,2.375,1.48,75.141,78.906
30.964,64.537,30.964,64.537,3.459,2.436,1.501,76.373,79.011
29.476,66.297,30.358,64.026,3.257,2.357,1.47,76.792,78.366
30.358,65.659,31.931,66.801,3.382,2.357,1.47,76.504,79.011
30.964,65.056,32.525,66.161,3.294,2.418,1.52,76.097,79.647
29.055,64.537,32.525,67.964,3.171,2.418,1.481,75.426,80.087
30.005,63.435,32.905,67.286,3.288,2.392,1.541,75.7,79.647
29.124,66.297,31.201,65.136,3.421,2.437,1.462,75.426,79.448
28.443,62.879,30.964,64.592,3.789,2.436,1.49,75.964,80.087
27.824,63.435,30.606,64.592,3.498,2.369,1.481,75.964,79.448
29.396,65.136,29.659,63.435,3.64,2.428,1.462,76.373,78.476
27.824,62.85,29.745,65.225,3.747,2.435,1.462,75.285,79.895
28.156,64.592,30.358,65.225,4.042,2.35,1.481,75.285,79.448
27.86,64.026,30.005,62.85,3.91,2.411,1.509,75.689,78.799
27.824,63.435,30.358,65.225,3.899,2.438,1.462,75.141,79.992
28.78,64.592,30.358,65.772,3.696,2.381,1.481,75.822,79.592
29.476,66.297,30.964,64.592,3.823,2.375,1.49,75.548,78.579
29.476,65.772,30.358,64.592,3.664,2.375,1.491,75.828,78.799
28.496,65.225,29.396,64.026,3.696,2.357,1.462,76.792,78.69
28.78,64.592,30.719,66.975,3.664,2.375,1.462,75.285,79.448
29.745,66.297,31.562,66.801,3.376,2.418,1.462,75.964,78.906
29.124,64.592,30.358,64.592,3.866,2.374,1.49,75.828,79.346
28.156,62.85,30.358,64.592,3.46,2.358,1.49,76.239,79.796
29.476,66.975,29.659,63.435,3.421,2.482,1.461,76.921,77.829
29.124,64.592,29.396,62.85,3.597,2.418,1.49,76.373,79.448
29.396,65.136,30.358,65.772,3.557,2.392,1.462,75.285,79.548
25.615,60.422,28.78,62.819,3.821,2.4,1.462,75.964,80.819
25.278,60.945,27.198,60.255,3.83,2.445,1.462,76.39,80.256
26.565,61.607,26.878,59.744,3.862,2.375,1.462,76.39,80.256
25.615,60.945,25.641,57.848,4.127,2.381,1.415,77.989,80.727
25.925,63.435,25.641,59.036,4.04,2.399,1.389,77.276,79.271
25.925,64.058,26.259,59.036,4.04,2.399,1.388,77.407,79.487
29.745,66.801,31.787,65.659,3.558,2.426,1.462,76.504,80.087
31.088,66.801,31.931,65.659,3.477,2.381,1.521,76.097,79.647
30.358,65.659,31.562,65.659,3.549,2.358,1.49,76.097,80.181
30.466,66.801,30.964,63.435,3.382,2.358,1.519,76.373,79.011
29.124,64.592,30.358,64.592,3.549,2.375,1.471,75.828,79.346
27.525,64.026,29.659,62.85,3.779,2.339,1.462,76.792,80.446
26.565,63.435,27.499,60.945,3.82,2.401,1.415,77.093,79.796
27.824,62.85,29.396,64.026,3.953,2.4,1.501,76.373,80.628
25.313,60.422,27.499,60.945,3.748,2.382,1.454,77.093,81.469
27.216,63.435,27.824,59.744,3.637,2.389,1.451,76.551,80.633
28.156,65.225,28.443,63.435,4.087,2.34,1.435,76.527,79.796
28.156,65.225,27.499,61.607,4.132,2.4,1.434,76.961,79.242
28.202,65.898,26.878,59.744,3.747,2.357,1.423,77.407,77.905
29.124,64.592,28.443,61.074,4.137,2.4,1.47,77.535,78.69
30.358,66.801,29.32,62.301,3.5,2.419,1.481,77.905,78.476
29.745,66.801,30.256,63.435,3.597,2.357,1.461,77.471,79.011
29.124,65.772,28.72,61.699,3.64,2.393,1.443,77.221,78.366
27.198,62.85,29.055,62.241,4.178,2.375,1.461,76.661,79.796
28.78,65.772,28.72,62.85,3.957,2.375,1.434,77.347,78.906
28.78,63.435,30.358,64.592,3.597,2.418,1.471,76.239,79.448
28.443,63.997,30.847,63.997,3.529,2.419,1.461,77.471,79.548
29.124,65.136,30.606,63.435,3.597,2.419,1.489,76.921,79.011
29.124,65.136,31.562,65.136,3.421,2.418,1.49,76.504,79.011
29.745,66.801,30.847,63.997,3.331,2.418,1.442,77.047,79.011
29.124,65.136,30.964,64.592,3.421,2.376,1.49,76.373,78.906
31.701,67.286,32.152,65.056,3.257,2.418,1.5,76.633,78.69
30.719,66.801,31.562,65.659,3.141,2.418,1.47,76.633,78.584
30.719,66.801,31.562,65.659,3.382,2.418,1.49,76.504,78.584
29.745,65.136,30.964,65.136,3.421,2.375,1.471,75.828,79.448
31.088,66.801,30.964,63.997,3.257,2.357,1.5,76.373,78.906
29.745,65.136,30.606,63.997,3.459,2.4,1.471,77.047,79.548
29.476,65.136,31.931,65.136,3.518,2.418,1.479,76.504,78.476
30.719,65.659,31.931,65.659,3.382,2.375,1.5,75.828,78.906
30.719,66.801,30.964,65.136,3.52,2.357,1.471,76.373,78.906
30.719,67.964,31.201,65.659,3.517,2.357,1.462,76.373,78.906
31.329,67.286,31.201,64.537,3.705,2.375,1.49,76.504,79.011
31.088,66.161,31.931,63.997,3.382,2.358,1.53,76.373,79.011
31.701,68.429,32.152,66.161,3.346,2.339,1.491,76.504,79.011
31.088,66.801,31.562,64.537,3.517,2.401,1.5,76.373,79.011
29.745,65.659,32.152,65.659,3.558,2.357,1.49,75.964,79.992
31.329,67.286,32.152,66.161,3.382,2.358,1.471,75.964,79.548
30.719,65.659,31.562,64.537,3.421,2.401,1.52,76.373,79.548
31.329,66.161,32.525,66.161,3.257,2.357,1.5,75.964,79.548
30.964,66.161,31.787,65.056,3.459,2.375,1.471,76.633,79.647
30.101,65.659,32.525,65.659,3.51,2.418,1.499,75.964,79.011
30.964,67.286,31.787,66.161,3.421,2.375,1.443,75.964,79.548
30.101,65.659,32.525,65.659,3.51,2.358,1.499,76.373,78.799
29.745,64.537,32.525,65.659,3.295,2.357,1.519,76.504,79.548
30.719,66.801,31.931,66.801,3.622,2.345,1.471,76.239,79.796
30.101,66.801,32.307,67.479,3.571,2.319,1.47,75.548,79.242
29.055,65.056,32.735,66.801,3.097,2.339,1.442,75.964,81.085
31.201,65.556,34.077,69.305,3.142,2.357,1.492,75.174,80.803
31.329,66.644,34.077,67.751,3.337,2.338,1.52,75.7,80.272
30.101,65.659,32.525,65.659,3.518,2.357,1.52,75.964,79.548
30.101,65.659,31.931,65.136,3.509,2.398,1.5,75.964,79.647
29.124,65.136,32.905,67.964,3.479,2.358,1.49,75.564,79.647
29.745,63.997,31.931,65.659,3.558,2.373,1.521,75.426,80.087
28.78,63.997,31.931,66.297,3.288,2.374,1.471,75.828,79.548
28.78,62.879,31.931,65.136,3.738,2.334,1.48,75.828,79.992
28.78,65.136,31.931,67.479,3.376,2.392,1.442,74.745,79.548
28.78,65.136,31.931,67.479,3.518,2.398,1.442,75.426,80.087
29.396,65.136,30.606,65.136,4.281,2.374,1.462,75.828,80.181
29.055,63.435,31.931,66.297,3.597,2.417,1.451,75.689,80.087
27.824,62.85,30.005,64.592,3.954,2.356,1.462,76.239,80.538
27.824,63.435,31.201,65.136,3.492,2.437,1.462,75.285,80.538
29.396,63.997,32.307,67.964,3.664,2.356,1.49,75.426,80.181
29.396,65.659,32.152,66.801,3.706,2.418,1.462,75.564,80.181
28.156,62.301,32.307,66.297,3.551,2.392,1.5,74.745,79.992
29.124,65.136,32.152,65.659,3.559,2.395,1.471,75.285,79.548
29.124,65.136,32.525,66.801,3.259,2.418,1.49,74.89,79.992
29.396,64.537,32.525,66.801,3.421,2.418,1.47,74.89,80.628
29.745,65.136,31.201,64.537,3.598,2.394,1.491,75.689,79.448
28.78,64.537,32.525,66.297,3.558,2.358,1.49,75.689,79.992
29.745,65.659,33.111,67.286,3.384,2.358,1.47,75.828,79.448
29.124,65.136,32.525,66.801,3.64,2.418,1.491,75.426,79.448
28.496,64.592,31.562,65.136,3.551,2.352,1.49,75.426,79.548
30.719,66.801,32.152,66.161,3.383,2.375,1.491,76.097,79.011
30.005,64.537,32.307,67.964,3.654,2.436,1.471,74.89,79.647
28.496,63.435,31.329,64.592,3.414,2.436,1.52,75.426,79.548
29.745,65.659,32.525,66.801,3.518,2.392,1.47,75.426,79.114
29.124,65.136,31.931,66.297,3.518,2.434,1.471,75.426,79.011
30.719,66.801,32.525,67.286,3.337,2.391,1.452,75.426,78.476
29.745,65.136,32.307,67.964,3.478,2.351,1.491,74.89,79.011
29.396,63.997,31.931,66.801,3.421,2.375,1.472,75.285,79.992
28.496,65.772,30.606,64.592,3.288,2.384,1.462,76.103,79.992
28.843,64.592,31.701,65.772,3.478,2.34,1.5,74.995,79.895
29.745,64.537,32.525,65.659,3.421,2.376,1.5,75.285,80.087
28.78,65.136,32.152,66.801,3.559,2.357,1.442,75.828,79.895
29.396,65.659,31.787,65.659,3.46,2.401,1.442,76.373,80.087
29.124,65.136,31.562,65.136,3.288,2.376,1.471,75.141,79.992
29.745,64.537,32.525,65.659,3.414,2.358,1.5,75.689,79.992
29.745,65.659,32.152,65.659,3.55,2.351,1.471,75.426,79.548
30.101,65.659,33.111,66.161,3.384,2.376,1.5,75.426,79.548
29.124,63.997,32.307,66.297,3.51,2.392,1.5,74.745,79.548
28.78,63.997,32.525,66.801,3.559,2.375,1.471,75.426,80.181
29.745,65.659,32.525,66.801,3.51,2.419,1.471,75.426,79.647
29.476,65.136,32.905,66.801,3.615,2.392,1.501,74.358,79.548
29.745,65.659,32.905,67.964,3.478,2.401,1.472,74.89,80.181
30.101,66.801,32.525,66.801,3.47,2.352,1.471,74.89,79.114
29.745,66.801,31.562,66.297,3.664,2.393,1.442,75.426,79.114
29.396,64.537,33.111,67.286,3.415,2.399,1.471,75.564,80.716
29.745,65.659,32.525,66.801,3.518,2.394,1.471,75.426,79.114
28.78,64.592,31.329,67.479,3.655,2.316,1.443,75.285,79.992
29.745,65.659,32.735,66.161,3.422,2.376,1.49,76.097,79.647
29.476,66.297,31.562,65.136,3.518,2.436,1.471,75.426,79.011
29.124,66.297,31.201,65.136,3.558,2.394,1.462,75.964,79.114
28.496,65.772,31.562,66.297,3.511,2.462,1.481,75.7,79.743
